id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
10390,3AZ0,heliport,Flagstaff Medical Center East No. 2 Heliport,35.20830154,-111.6429977,7016,NA,US,US-AZ,Flagstaff,no,3AZ0,,3AZ0,,,
10391,3AZ1,heliport,Pixley-Richards Gilbert Heliport,33.37229919,-111.836998,1231,NA,US,US-AZ,Gilbert,no,3AZ1,,3AZ1,,,
10392,3AZ2,small_airport,U of A Maricopa Ag Center Airport,33.08029938,-111.9830017,1181,NA,US,US-AZ,Maricopa,no,3AZ2,,3AZ2,,,
10393,3AZ3,heliport,Emergency Medical Heliport,36.91719818,-111.4639969,4300,NA,US,US-AZ,Page,no,3AZ3,,3AZ3,,,
10394,3AZ4,heliport,John C Lincoln Deer Valley Hospital Heliport,33.665905,-112.115325,1380,NA,US,US-AZ,Phoenix,no,3AZ4,,3AZ4,,,Phoenix General Satellite Hospital Heliport
10395,3AZ5,small_airport,Hualapai Airport,35.57220078,-113.2919998,5317,NA,US,US-AZ,Peach Springs,no,3AZ5,,3AZ5,,,
10396,3AZ6,heliport,Del E Webb Memorial Hospital Heliport,33.65990067,-112.3730011,1255,NA,US,US-AZ,Sun City West,no,3AZ6,,3AZ6,,,
10397,3AZ7,heliport,The Buttes in Tempe Heliport,33.40340042,-111.9729996,1297,NA,US,US-AZ,Tempe,no,3AZ7,,3AZ7,,,
10398,3AZ8,small_airport,High Mesa Airpark,32.76229858,-109.6529999,3080,NA,US,US-AZ,Solomon,no,3AZ8,,3AZ8,,,
10399,3AZ9,heliport,Ina Road Heliport,32.33509827,-111.0719986,2192,NA,US,US-AZ,Tucson,no,3AZ9,,3AZ9,,,
18674,3B3,small_airport,Sterling Airport,42.42589951,-71.79290009,459,NA,US,US-MA,Sterling,no,3B3,,3B3,,,
10400,3B8,small_airport,Shady Acres Airport,47.07040024,-122.3710022,445,NA,US,US-WA,Spanaway,no,3B8,,3B8,,,
10401,3C1,small_airport,Mishawaka Pilots Club Airport,41.6570015,-86.03469849,755,NA,US,US-IN,Elkhart,no,3C1,,3C1,,,
10402,3C3,seaplane_base,Campbell Lake Seaplane Base,61.133099,-149.942003,20,NA,US,US-AK,Anchorage,no,,,3C3,,,
10403,3C5,closed,[Duplicate] Wheeler Airport,41.18980026,-86.60700226,720,NA,US,US-IN,Knox,no,3C5,,3C5,,,
10404,3CA0,heliport,Burroughs Heliport,35.70410156,-119.3769989,262,NA,US,US-CA,Wasco,no,3CA0,,3CA0,,,
10405,3CA1,heliport,Newport Beach Police Heliport,33.62639999,-117.8769989,156,NA,US,US-CA,Newport Beach,no,3CA1,,3CA1,,,
10406,3CA2,heliport,Jamboree Center Helistop,33.67779922,-117.836998,77,NA,US,US-CA,Irvine,no,3CA2,,3CA2,,,
10407,3CA3,closed,Dixon Airport,34.922199,-119.526001,2440,NA,US,US-CA,Cuyama,no,,,,,,3CA3
10408,3CA5,closed,Haws Airport,36.9416,-120.242995,192,NA,US,US-CA,Madera,no,,,,,,3CA5
10409,3CA6,heliport,J.H. Snyder Co. Iii Heliport,34.0625,-118.3519974,559,NA,US,US-CA,Los Angeles,no,3CA6,,3CA6,,,
10410,3CA7,small_airport,Metz Airport,36.32830048,-121.1869965,240,NA,US,US-CA,Greenfield,no,3CA7,,3CA7,,,
10411,3CA8,heliport,Holy Cross Medical Center Heliport,34.27970123,-118.4609985,1031,NA,US,US-CA,San Fernando,no,3CA8,,3CA8,,,
10412,3CA9,small_airport,Clark Ranch Airport,36.36330032,-121.3099976,276,NA,US,US-CA,Soledad,no,3CA9,,3CA9,,,
10413,3CL0,heliport,UC Davis Medical Center Tower II Heliport,38.554831,-121.455491,236,NA,US,US-CA,Sacramento,no,3CL0,,3CL0,,,
10414,3CL1,heliport,Metropolitan Water District Heliport,34.0544014,-118.2369995,465,NA,US,US-CA,Los Angeles,no,3CL1,,3CL1,,,
10415,3CL2,small_airport,Meadow Airstrip,40.15639877,-122.302002,345,NA,US,US-CA,Red Bluff,no,3CL2,,3CL2,,,
10416,3CL3,heliport,World Trade Center Heliport,33.77780151,-118.1999969,398,NA,US,US-CA,Long Beach,no,3CL3,,3CL3,,,
10417,3CL4,heliport,Super Bowl Heliport,34.17279816,-118.1709976,960,NA,US,US-CA,Pasadena,no,3CL4,,3CL4,,,
10418,3CL5,heliport,Chase Plaza Heliport,34.03720093,-118.2580032,412,NA,US,US-CA,Los Angeles,no,3CL5,,3CL5,,,
10419,3CL6,heliport,Long Point Heliport,33.73699951,-118.3939972,85,NA,US,US-CA,Rancho Palos Verdes,no,3CL6,,3CL6,,,
10420,3CL7,heliport,Raleigh Enterprises Heliport,34.03609848,-118.4420013,200,NA,US,US-CA,Los Angeles,no,3CL7,,3CL7,,,
10421,3CL8,heliport,Toyota Helistop,33.85639954,-118.3130035,60,NA,US,US-CA,Torrance,no,3CL8,,3CL8,,,
10422,3CL9,heliport,Sce Northern Division Heliport,34.2881012,-119.1689987,273,NA,US,US-CA,San Buenaventura,no,3CL9,,3CL9,,,
299726,3CN2,heliport,Santa Barbara Cottage Hospital Heliport,34.43,-119.724166,201,NA,US,US-CA,Santa Barbara,no,3CN2,,3CN2,,,
317206,3CN4,heliport,Kaiser Permanente Anaheim Medical Center Heliport,33.852,-117.8453,341,NA,US,US-CA,Anaheim,no,3CN4,,3CN4,,,
322235,3CN5,heliport,Los Angeles County Sheriffs Dept South LA Heliport,33.92864,-118.299004,209,NA,US,US-CA,Los Angeles,no,3CN5,,3CN5,,,
10423,3CO0,small_airport,Sky Island Ranch Airport,38.73749924,-108.0059967,5300,NA,US,US-CO,Delta,no,3CO0,,3CO0,,,
10424,3CO1,small_airport,Cridler Field,38.84830093,-107.8330002,6460,NA,US,US-CO,Hotchkiss,no,3CO1,,3CO1,,,
10425,3CO2,small_airport,Mertens Airport,40.61750031,-103.3330002,4192,NA,US,US-CO,Sterling,no,3CO2,,3CO2,,,
10426,3CO3,heliport,Sterling Regional Medical Center Heliport,40.61249924,-103.2200012,3946,NA,US,US-CO,Sterling,no,3CO3,,3CO3,,,
10427,3CO4,small_airport,Tercio Ranch Airstrip,37.07089996,-105.0189972,7957,NA,US,US-CO,Stonewall,no,3CO4,,3CO4,,,
10428,3CO5,heliport,Texas Creek Heliport,38.40940094,-105.5849991,6250,NA,US,US-CO,Texas Creek,no,3CO5,,3CO5,,,
10429,3CO7,small_airport,Dietrichs Airport,39.33250046,-104.5660019,6780,NA,US,US-CO,Elizabeth,no,3CO7,,3CO7,,,
10430,3CO8,heliport,E.P.M.C. Heliport,40.37170029,-105.5159988,7674,NA,US,US-CO,Estes Park,no,3CO8,,3CO8,,,
10431,3CO9,heliport,D B Smith Memorial Heliport,38.71250153,-105.1419983,9710,NA,US,US-CO,Victor,no,3CO9,,3CO9,,,
10432,3D1,small_airport,Crivitz Municipal Airport,45.21419907,-88.07319641,731,NA,US,US-WI,Crivitz,no,3D1,,3D1,,,
10433,3D2,small_airport,Ephraim-Fish Creek Airport,45.13539886,-87.18589783,773,NA,US,US-WI,Ephraim,no,3D2,,3D2,,,
10434,3D8,small_airport,Bordner Airport,41.33599854,-83.72319794,690,NA,US,US-OH,Bowling Green,no,3D8,,3D8,,,
10435,3DA,small_airport,Dalton Airport,43.05250168,-83.80490112,733,NA,US,US-MI,Flushing,no,3DA,,3DA,,,
10436,3.00E+07,small_airport,Pronger Bros Ranch Airport,36.2195015,-102.1039963,3722,NA,US,US-TX,Stratford,no,3.00E+07,,3.00E+07,,,
10437,3EV,small_airport,Skylane Airport,38.01169968,-87.59470367,380,NA,US,US-IN,Evansville,no,3EV,,3EV,,,
10438,3EX,small_airport,Excelsior Springs Memorial Airport,39.33720016,-94.1977005,997,NA,US,US-MO,Excelsior Springs,no,3EX,,3EX,,,
10439,3F5,small_airport,Forest Hill Airport,42.91230011,-84.67549896,775,NA,US,US-MI,Westphalia,no,3F5,,3F5,,,
45351,3FA2,heliport,Fly High Heliport,28.345833,-81.664444,115,NA,US,US-FL,Kissimmee,no,3FA2,,3FA2,,,
45358,3FA3,heliport,Southfork Heliport,28.226944,-81.366528,80,NA,US,US-FL,Saint Cloud,no,3FA3,,3FA3,,,
46076,3FA4,heliport,Gulf Coast Medical Center Heliport,26.54405556,-81.84880556,18,NA,US,US-FL,Fort Myers,no,3FA4,,3FA4,,,
299722,3FA8,seaplane_base,Searey Central SPB,28.766111,-81.74611,67,NA,US,US-FL,Tavares,no,3FA8,,3FA8,,,
10440,3FD0,small_airport,Last Chance Ranch Airport,27.02169991,-81.45120239,70,NA,US,US-FL,Lake Placid,no,3FD0,,3FD0,,,
10441,3FD1,closed,Tampa Bay Executive Airport,28.18799973,-82.62560272,41,NA,US,US-FL,New Port Richey,no,3FD1,,3FD1,,,
10442,3FD2,heliport,L R M C Emergency Helistop,28.80830002,-81.86699677,75,NA,US,US-FL,Leesburg,no,3FD2,,3FD2,,,
10443,3FD3,heliport,Holmes Regional Medical Center Heliport,28.08779907,-80.61370087,40,NA,US,US-FL,Melbourne,no,3FD3,,3FD3,,,
10444,3FD4,small_airport,Florida Flying Gators Ultralightport,28.62779999,-81.80290222,30,NA,US,US-FL,Minneola,no,3FD4,,3FD4,,,
10445,3FD5,heliport,Arnold Palmer Hospital Heliport,28.52249908,-81.38030243,150,NA,US,US-FL,Orlando,no,3FD5,,3FD5,,,
10446,3FD6,small_airport,Tradewinds Aerodrome,28.76420021,-80.85389709,5,NA,US,US-FL,Scottsmoor,no,3FD6,,3FD6,,,
10447,3FD7,heliport,Indian River Memorial Hospital Heliport,27.66390038,-80.39620209,11,NA,US,US-FL,Vero Beach,no,3FD7,,3FD7,,,
10448,3FD8,heliport,West Boca Medical Center Heliport,26.35560036,-80.20030212,20,NA,US,US-FL,Boca Raton,no,3FD8,,3FD8,,,
10449,3FD9,seaplane_base,Prairie Lake Private Res Sp Mooring Facility,28.65670013,-81.35340118,86,NA,US,US-FL,Altamonte Springs,no,3FD9,,3FD9,,,
10450,3FK,small_airport,Franklin Flying Field,39.42639923,-86.0582962,740,NA,US,US-IN,Franklin,no,3FK,,3FK,,,
10451,3FL0,small_airport,Mount Royal Airport,29.43610001,-81.65670013,60,NA,US,US-FL,Welaka,no,3FL0,,3FL0,,,
10452,3FL1,small_airport,Two J's Flying Ranch Airport,28.45249939,-82.20780182,60,NA,US,US-FL,Dade City,no,3FL1,,3FL1,,,
10453,3FL2,heliport,Florida Hospital-Fish Memorial Heliport,28.91469955,-81.28469849,45,NA,US,US-FL,Orange City,no,3FL2,,3FL2,,,
10454,3FL3,heliport,Sheriff's Operation Center Heliport,29.19330025,-82.17510223,70,NA,US,US-FL,Ocala,no,3FL3,,3FL3,,,
10455,3FL4,heliport,Knobel Heliport,28.24850082,-80.66200256,38,NA,US,US-FL,Cocoa,no,3FL4,,3FL4,,,
10456,3FL5,small_airport,Mills Ranch South Airport,27.77829933,-80.92189789,60,NA,US,US-FL,Kenansville,no,3FL5,,3FL5,,,
10457,3FL6,heliport,Wink Tv Heliport,26.6508007,-81.85559845,6,NA,US,US-FL,Fort Myers,no,3FL6,,3FL6,,,
10458,3FL7,heliport,Mack Bayor Airheart Heliport,30.37719917,-86.30560303,17,NA,US,US-FL,Destin,no,3FL7,,3FL7,,,
10459,3FL8,small_airport,Hart Airport,30.94630051,-85.27380371,125,NA,US,US-FL,Malone,no,3FL8,,3FL8,,,
10460,3FL9,heliport,Sun N Lake Heliport,27.53860092,-81.50980377,156,NA,US,US-FL,Sebring,no,3FL9,,3FL9,,,
10461,3G8,small_airport,Gen-Airpark,41.43980026,-90.11009979,645,NA,US,US-IL,Geneseo,no,3G8,,3G8,,,
10462,3G9,small_airport,Butler Farm Show Airport,40.8526001,-79.97480011,1333,NA,US,US-PA,Butler,no,3G9,,3G9,,,
10463,3GA0,small_airport,Grant Airport,33.52750015,-84.1568985,790,NA,US,US-GA,Stockbridge,no,3GA0,,3GA0,,,
10464,3GA1,small_airport,Prattsburg Airport,32.72510147,-84.35829926,554,NA,US,US-GA,Talbotton,no,3GA1,,3GA1,,,
10465,3GA2,heliport,Tanner Medical Center Heliport,33.57009888,-85.07489777,1062,NA,US,US-GA,Carrollton,no,3GA2,,3GA2,,,
10466,3GA3,small_airport,Warren Field,34.871111,-85.4375,1866,NA,US,US-GA,Lookout Mountain,no,3GA3,,3GA3,,,
10467,3GA4,heliport,Stonewall Heliport,33.60089874,-84.54910278,1020,NA,US,US-GA,Union City,no,3GA4,,3GA4,,,
10468,3GA5,small_airport,Diamond R Ranch Airport,33.63710022,-84.938797,1213,NA,US,US-GA,Villa Rica,no,3GA5,,3GA5,,,
10469,3GA6,small_airport,Erlen Airport,33.5705986,-84.89830017,1044,NA,US,US-GA,Whitesburg,no,3GA6,,3GA6,,,
10470,3GA7,small_airport,Rhodes Air Ranch Airport,33.16249847,-81.76830292,195,NA,US,US-GA,Waynesboro,no,3GA7,,3GA7,,,
10471,3GA8,small_airport,Cauley's Airstrip,32.32939911,-82.63500214,251,NA,US,US-GA,Soperton,no,3GA8,,3GA8,,,
10472,3GA9,small_airport,Vintage Field,33.13349915,-84.37740326,873,NA,US,US-GA,Zebulon,no,3GA9,,3GA9,,,
10473,3GE1,heliport,Okefenokee Heliport,30.73749924,-82.12670135,125,NA,US,US-GA,Folkston,no,3GE1,,3GE1,,,
10474,3GE2,heliport,Williams Heliport,33.82080078,-84.12809753,990,NA,US,US-GA,Stone Mountain,no,3GE2,,3GE2,,,
10475,3GE3,small_airport,Broad River Air Park,34.41189957,-83.18419647,690,NA,US,US-GA,Carnesville,no,3GE3,,3GE3,,,
10476,3GE4,small_airport,Fox Mountain Airport,34.72999954,-85.54190063,925,NA,US,US-GA,Rising Fawn,no,3GE4,,3GE4,,,
10477,3GE5,heliport,Rockdale Hospital Heliport,33.68050003,-84.00260162,865,NA,US,US-GA,Conyers,no,3GE5,,3GE5,,,
10478,3GE6,heliport,Wellstar Douglas Hospital Heliport,33.73889923,-84.73280334,1120,NA,US,US-GA,Douglasville,no,3GE6,,3GE6,,,
10479,3GE7,small_airport,Eden Field,31.41270065,-81.43730164,30,NA,US,US-GA,Darien,no,3GE7,,3GE7,,,
10480,3GE8,small_airport,Prater Ranch Airport,33.84349823,-82.47899628,460,NA,US,US-GA,Lincolnton,no,3GE8,,3GE8,,,
10481,3GE9,small_airport,Holly Farm Airport,34.13999939,-84.37809753,900,NA,US,US-GA,Woodstock,no,3GE9,,3GE9,,,
10482,3H3,seaplane_base,Cottonwood Lake Seaplane Base,61.59759903,-149.3159943,300,NA,US,US-AK,Wasilla,no,3H3,,3H3,,,
10483,3H5,small_airport,Erie Air Park,41.67919922,-90.0786972,600,NA,US,US-IL,Erie,no,3H5,,3H5,,,
10484,3I1,closed,Elwood Airport,40.2528,-85.833298,866,NA,US,US-IN,Elwood,no,,,,,,3I1
10485,3IA0,heliport,Washington County Hospital Heliport,41.28919983,-91.68769836,760,NA,US,US-IA,Washington,no,3IA0,,3IA0,,,
10486,3IA1,small_airport,Whites Airport,41.96080017,-93.11990356,1050,NA,US,US-IA,Melbourne,no,3IA1,,3IA1,,,
10487,3IA2,heliport,Greene County Medical Center Heliport,42.01670074,-94.38770294,1050,NA,US,US-IA,Jefferson,no,3IA2,,3IA2,,,
10488,3IA3,heliport,Des Moines General Hospital Heliport,41.59420013,-93.60079956,889,NA,US,US-IA,Des Moines,no,3IA3,,3IA3,,,
10489,3IA4,small_airport,Robinson Airport,41.5318985,-95.94200134,1000,NA,US,US-IA,Missouri Valley,no,3IA4,,3IA4,,,
10490,3IA5,small_airport,Kerr Airport,42.87720108,-95.88249969,1450,NA,US,US-IA,Marcus,no,3IA5,,3IA5,,,
10491,3IA6,heliport,Ottumwa Hospital Heliport,41.02890015,-92.39070129,845,NA,US,US-IA,Ottumwa,no,3IA6,,3IA6,,,
10492,3IA7,heliport,Daec Heliport,42.10189819,-91.77709961,753,NA,US,US-IA,Palo,no,3IA7,,3IA7,,,
10493,3IA8,heliport,Kah Heliport,40.4070015,-91.38710022,617,NA,US,US-IA,Keokuk,no,3IA8,,3IA8,,,
10494,3IA9,small_airport,Rake Airport,43.47579956,-93.90720367,1180,NA,US,US-IA,Rake,no,3IA9,,3IA9,,,
45393,3ID2,small_airport,The Last Resort Airport,46.350675,-115.977,3155,NA,US,US-ID,Weippe,no,3ID2,,3ID2,,,
10495,3ID4,heliport,Health Center Heliport,42.95410156,-115.3050003,2560,NA,US,US-ID,Glenns Ferry,no,3ID4,,3ID4,,,
10496,3ID7,small_airport,Indian Creek Ranch Airport,43.47600174,-116.4039993,2674,NA,US,US-ID,Kuna,no,3ID7,,3ID7,,,
10497,3IG3,small_airport,Terry's Airport,41.17020035,-85.42160034,850,NA,US,US-IN,Columbia City,no,3IG3,,3IG3,,,
299707,3II0,small_airport,Fremont (Murphy) Airport,41.69108485,-84.86425638,1050,NA,US,US-IN,Fremont,no,3II0,,3II0,,,
